Date	Price	Open	High	Low	Vol.	Change %
Mar 23, 2015	164.03	164.22	164.50	163.66	155.53K	10.39%
Mar 20, 2015	148.59	148.38	149.03	148.25	0.73K	0.42%
Mar 19, 2015	147.97	149.31	149.31	147.56	3.10K	-0.13%
Mar 18, 2015	148.16	147.44	148.44	146.56	3.02K	1.02%
Mar 17, 2015	146.66	147.12	147.19	146.41	6.09K	0.56%
Mar 16, 2015	145.84	146.09	146.47	145.72	4.59K	0.10%
Mar 13, 2015	145.69	145.25	145.97	145.19	6.72K	0.00%
Mar 12, 2015	145.69	145.78	146.59	145.28	8.06K	-0.02%
Mar 11, 2015	145.72	145.28	146.03	144.81	11.38K	0.32%
Mar 10, 2015	145.25	144.09	145.34	144.00	10.10K	0.74%
Mar 09, 2015	144.19	144.19	144.34	143.44	18.61K	0.56%
Mar 06, 2015	143.38	145.41	145.91	142.97	22.34K	-1.44%
Mar 05, 2015	145.47	145.53	145.75	144.88	13.22K	0.09%
Mar 04, 2015	145.34	145.22	145.66	145.00	33.70K	0.12%
Mar 03, 2015	145.16	145.78	146.16	145.06	50.76K	-0.45%
Mar 02, 2015	145.81	147.09	147.28	145.53	42.01K	-0.83%
Feb 27, 2015	147.03	146.66	147.25	146.22	136.97K	0.15%
Feb 26, 2015	146.81	146.75	147.78	146.47	525.23K	-0.05%
Feb 25, 2015	146.88	146.25	147.06	145.97	671.61K	0.49%
Feb 24, 2015	146.16	145.25	146.47	144.56	698.87K	0.56%
Feb 23, 2015	145.34	144.16	145.41	144.09	324.29K	0.91%
Feb 20, 2015	144.03	144.22	145.44	143.88	355.08K	-0.19%
Feb 19, 2015	144.31	144.59	145.22	144.09	318.01K	-0.35%
Feb 18, 2015	144.81	144.19	145.22	143.78	404.45K	0.50%
Feb 17, 2015	144.09	145.56	146.12	143.94	418.14K	-1.13%
Feb 16, 2015	145.74	145.06	145.76	144.93	-	0.46%
Feb 15, 2015	145.07	145.57	145.57	145.07	-	-0.58%
Feb 13, 2015	145.91	146.78	147.00	145.53	267.86K	-0.61%
Feb 12, 2015	146.81	146.50	147.31	145.72	363.46K	-0.07%
Feb 11, 2015	146.91	146.88	147.16	146.19	302.78K	0.02%
Feb 10, 2015	146.88	147.12	147.34	146.59	281.89K	-0.48%
Feb 09, 2015	147.59	147.62	148.28	146.97	254.04K	-0.05%
Feb 06, 2015	147.66	148.75	149.69	147.03	479.68K	-0.82%
Feb 05, 2015	148.88	150.12	150.59	148.72	309.50K	-0.37%
Feb 04, 2015	149.44	149.12	150.38	148.56	380.03K	0.11%
Feb 03, 2015	149.28	150.75	150.84	148.97	394.64K	-1.03%
Feb 02, 2015	150.84	151.59	151.72	150.50	341.09K	-0.29%
Jan 30, 2015	151.28	150.31	151.88	150.19	451.84K	0.58%
Jan 29, 2015	150.41	151.09	151.38	149.91	357.94K	-0.52%
Jan 28, 2015	151.19	149.56	151.56	149.31	378.13K	1.11%
Jan 27, 2015	149.53	149.62	150.84	149.41	298.59K	-0.04%
Jan 26, 2015	149.59	150.47	150.91	149.38	269.23K	-0.17%
Jan 23, 2015	149.84	149.00	150.44	148.84	336.28K	0.90%
Jan 22, 2015	148.50	148.81	149.88	147.38	537.98K	-0.40%
Jan 21, 2015	149.09	150.09	150.59	148.66	454.66K	-0.50%
Jan 20, 2015	149.84	149.38	150.66	149.12	334.71K	0.05%
Jan 19, 2015	149.76	149.30	150.01	149.14	-	0.29%
Jan 18, 2015	149.32	149.39	149.39	149.30	-	-0.14%
Jan 16, 2015	149.53	150.84	151.31	149.19	424.92K	-0.37%
Jan 15, 2015	150.09	149.03	151.22	148.34	500.29K	0.46%
Jan 14, 2015	149.41	148.44	150.31	148.31	495.53K	0.53%
Jan 13, 2015	148.62	148.34	149.12	147.72	465.82K	0.12%
Jan 12, 2015	148.44	147.97	148.66	147.31	265.33K	0.62%
Jan 09, 2015	147.53	146.84	148.06	146.59	444.36K	0.42%
Jan 08, 2015	146.91	147.84	147.97	146.69	378.36K	-0.86%
Jan 07, 2015	148.19	148.50	148.75	147.31	415.23K	0.02%
